season,week,home_team,away_team,home_points,away_points,spread,neutral_site,venue,favorite,underdog,winner,underdog_win
2023,6,Lock Haven University,Shepherd,10,27,0.0,False,Hubert Jack Stadium,Shepherd,Lock Haven University,Shepherd,0
2023,6,Western New England,Anna Maria College,33,17,0.0,False,Golden Bear Stadium,Anna Maria College,Western New England,Western New England,1
2023,6,Frostburg State,UNC Pembroke,31,21,0.0,False,Bobcat Stadium (MD),UNC Pembroke,Frostburg State,Frostburg State,1
2023,6,Ferris State,Saginaw Valley State,38,17,0.0,False,Top Taggart Field,Saginaw Valley State,Ferris State,Ferris State,1
2023,6,Northwood (MI),Findlay,33,30,0.0,False,Hantz Stadium,Findlay,Northwood (MI),Northwood (MI),1
2023,6,Depauw,Denison University,17,6,0.0,False,Blackstock Stadium,Denison University,Depauw,Depauw,1
2023,6,New Haven,Lincoln (CA),38,0,0.0,False,Ralph F. DellaCamera Stadium,Lincoln (CA),New Haven,New Haven,1
2023,6,Wayne State (MI),Michigan Tech,23,21,0.0,False,Tom Adams Field,Michigan Tech,Wayne State (MI),Wayne State (MI),1
2023,6,Shaw,Johnson C Smith,21,10,0.0,False,George Williams Athletic Complex,Johnson C Smith,Shaw,Shaw,1
2023,6,Shippensburg,West Chester,28,38,0.0,False,Seth Grove Stadium,West Chester,Shippensburg,West Chester,0
2023,6,Miles College,Benedict College,24,27,0.0,False,Albert J. H. Sloan - Alumni Stadium,Benedict College,Miles College,Benedict College,0
2023,6,Westminster College (MO),Martin Luther,28,14,0.0,False,Blue Jay Stadium,Martin Luther,Westminster College (MO),Westminster College (MO),1
2023,6,St. Anselm,Bentley,24,17,0.0,False,Grappone Stadium,Bentley,St. Anselm,St. Anselm,1
2023,6,Wheeling,West Virginia Wesleyan,58,3,0.0,False,Bishop Schmitt Field,West Virginia Wesleyan,Wheeling,Wheeling,1
2023,6,West Liberty,Glenville State,48,40,0.0,False,West Family Stadium,Glenville State,West Liberty,West Liberty,1
2023,6,Concordia University St Paul,Sioux Falls,28,35,0.0,False,Sea Foam Stadium,Sioux Falls,Concordia University St Paul,Sioux Falls,0
2023,6,University of Rochester (NY),Union (NY),17,21,0.0,False,Edwin Fauver Stadium,Union (NY),University of Rochester (NY),Union (NY),0
2023,6,Hobart College,Buffalo State,45,21,0.0,False,Boswell Field at David J. Urick Stadium,Buffalo State,Hobart College,Hobart College,1
2023,6,Wofford,Samford,10,31,0.0,False,Gibbs Stadium,Samford,Wofford,Samford,0
2023,6,Marietta,John Carroll University,28,31,0.0,False,Don Drumm Stadium,John Carroll University,Marietta,John Carroll University,0
2023,6,Heidelberg,University of Mount Union,3,41,0.0,False,Hoernemann Stadium,University of Mount Union,Heidelberg,University of Mount Union,0
2023,6,Dartmouth,Yale,24,31,0.0,False,Memorial Field,Yale,Dartmouth,Yale,0
2023,6,Defiance College,Mount St. Joseph,21,62,0.0,False,Justin F. Coressel Stadium,Mount St. Joseph,Defiance College,Mount St. Joseph,0
2023,6,Anderson (IN),Franklin,28,36,0.0,False,Macholtz Stadium,Franklin,Anderson (IN),Franklin,0
2023,6,Manchester,Rose-Hulman,7,44,0.0,False,Carl W. Burt Memorial Stadium,Rose-Hulman,Manchester,Rose-Hulman,0
2023,6,North Dakota,Western Illinois,49,10,0.0,False,Alerus Center,Western Illinois,North Dakota,North Dakota,1
2023,6,Central Missouri,Nebraska-Kearney,38,14,0.0,False,Audrey J. Walton Stadium at Vernon Kennedy Field,Nebraska-Kearney,Central Missouri,Central Missouri,1
2023,6,Black Hills State,New Mexico Highlands,34,24,0.0,False,Lyle Hare Stadium,New Mexico Highlands,Black Hills State,Black Hills State,1
2023,6,Chadron St,Fort Lewis,57,20,0.0,False,Elliott Field at Don Beebe Stadium,Fort Lewis,Chadron St,Chadron St,1
2023,6,Muhlenberg,McDaniel College,50,6,0.0,False,Scotty Wood Stadium,McDaniel College,Muhlenberg,Muhlenberg,1
2023,6,Ohio Wesleyan,Kenyon,48,7,0.0,False,Selby Stadium,Kenyon,Ohio Wesleyan,Ohio Wesleyan,1
2023,6,South Carolina State,Virginia University Of Lynchburg,56,6,0.0,False,Oliver C. Dawson Stadium,Virginia University Of Lynchburg,South Carolina State,South Carolina State,1
2023,6,Bloomsburg,Kutztown University,3,24,0.0,False,Robert B. Redman Stadium,Kutztown University,Bloomsburg,Kutztown University,0
2023,6,Truman State,Quincy,33,27,0.0,False,Stokes Stadium,Quincy,Truman State,Truman State,1
2023,6,Carleton,St. Olaf,33,31,0.0,False,Laird Stadium,St. Olaf,Carleton,Carleton,1
2023,6,Wabash College,Wooster,45,35,0.0,False,Little Giant Stadium,Wooster,Wabash College,Wabash College,1
2023,6,Valdosta State,Delta State,25,49,0.0,False,Bazemore-Hyder Stadium,Delta State,Valdosta State,Delta State,0
2023,6,Furman,The Citadel,28,14,0.0,False,Paladin Stadium,The Citadel,Furman,Furman,1
2023,6,Lindenwood,Tennessee Tech,23,0,0.0,False,Hunter Stadium,Tennessee Tech,Lindenwood,Lindenwood,1
2023,6,Drake,Valparaiso,20,14,0.0,False,Drake Stadium,Valparaiso,Drake,Drake,1
2023,6,Hampton,Campbell,27,30,0.0,False,Armstrong Stadium,Campbell,Hampton,Campbell,0
2023,6,Elon,North Carolina Central,23,34,0.0,False,Rhodes Stadium,North Carolina Central,Elon,North Carolina Central,0
2023,6,Alfred University,SUNY Morrisville,14,10,0.0,False,Merrill Field at Yunevich Stadium,SUNY Morrisville,Alfred University,Alfred University,1
2023,6,Texas Lutheran,Mary Hardin-Baylor,21,55,0.0,False,Bulldog Stadium (TX),Mary Hardin-Baylor,Texas Lutheran,Mary Hardin-Baylor,0
2023,6,Davenport,Northern Michigan,28,12,0.0,False,Farmers Insurance Athletic Complex,Northern Michigan,Davenport,Davenport,1
2023,6,Southwest Baptist,McKendree,24,17,0.0,False,Plaster Sports Complex,McKendree,Southwest Baptist,Southwest Baptist,1
2023,6,Bowie State,Virginia St,16,44,0.0,False,Bulldogs Stadium,Virginia St,Bowie State,Virginia St,0
2023,6,Mercyhurst,Slippery Rock,31,75,0.0,False,Saxon Stadium,Slippery Rock,Mercyhurst,Slippery Rock,0
2023,6,Wisconsin-Whitewater,Wisconsin-Lacrosse,34,37,0.0,False,Perkins Stadium,Wisconsin-Lacrosse,Wisconsin-Whitewater,Wisconsin-Lacrosse,0
2023,6,Wisconsin-Lutheran,Lakeland,34,14,0.0,False,Warrior Field at Raabe Stadium,Lakeland,Wisconsin-Lutheran,Wisconsin-Lutheran,1
2023,6,Concordia-Wisconsin,Benedictine University,28,0,0.0,False,Tomasini Stadium,Benedictine University,Concordia-Wisconsin,Concordia-Wisconsin,1
2023,6,Knox College,Ripon,3,10,0.0,False,Harley Knosher Bowl,Ripon,Knox College,Ripon,0
2023,6,St. Scholastica,Gustavus Adolphus,12,63,0.0,False,Public Schools Stadium,Gustavus Adolphus,St. Scholastica,Gustavus Adolphus,0
2023,6,Saint John's (MN),Concordia Moorhead,42,23,0.0,False,Clemens Stadium,Concordia Moorhead,Saint John's (MN),Saint John's (MN),1
2023,6,Hamline University,Augsburg,7,41,0.0,False,Klas Field,Augsburg,Hamline University,Augsburg,0
2023,6,Washington & Jefferson,Allegheny,35,28,0.0,False,Cameron Stadium,Allegheny,Washington & Jefferson,Washington & Jefferson,1
2023,6,Wisconsin-Eau Claire,Wisconsin-River Falls,7,49,0.0,False,Carson Park,Wisconsin-River Falls,Wisconsin-Eau Claire,Wisconsin-River Falls,0
2023,6,UVA Wise,Emory & Henry College,24,41,0.0,False,Carl Smith Stadium,Emory & Henry College,UVA Wise,Emory & Henry College,0
2023,6,St. Norbert,Rockford,58,6,0.0,False,Donald J. Schneider Stadium,Rockford,St. Norbert,St. Norbert,1
2023,6,Concordia University Chicago,Aurora,0,91,0.0,False,Concordia Stadium,Aurora,Concordia University Chicago,Aurora,0
2023,6,Chicago,Illinois College,20,41,0.0,False,Amos Alonzo Stagg Field,Illinois College,Chicago,Illinois College,0
2023,6,Carthage,North Park,20,35,0.0,False,Art Keller Field,North Park,Carthage,North Park,0
2023,6,Illinois Wesleyan,Washington University (St. Louis),10,38,0.0,False,Tucci Stadium,Washington University (St. Louis),Illinois Wesleyan,Washington University (St. Louis),0
2023,6,Howard Payne,East Texas Baptist University,28,14,0.0,False,Gordon Wood Stadium,East Texas Baptist University,Howard Payne,Howard Payne,1
2023,6,Austin,Sul Ross State,7,49,0.0,False,Jerry E. Apple Stadium,Sul Ross State,Austin,Sul Ross State,0
2023,6,Luther,Wartburg,0,54,0.0,False,Legacy Field in Carlson Stadium,Wartburg,Luther,Wartburg,0
2023,6,Dubuque,Nebraska Wesleyan,56,28,0.0,False,Chalmers Field,Nebraska Wesleyan,Dubuque,Dubuque,1
2023,6,Loras College,Central College,14,38,0.0,False,Rock Bowl,Central College,Loras College,Central College,0
2023,6,Coe College,Buena Vista,52,7,0.0,False,Clark Field,Buena Vista,Coe College,Coe College,1
2023,6,South Dakota Mines,Western Colorado,20,43,0.0,False,O'Harra Stadium,Western Colorado,South Dakota Mines,Western Colorado,0
2023,6,Buffalo,Central Michigan,37,13,0.0,False,UB Stadium,Central Michigan,Buffalo,Buffalo,1
2023,6,Edward Waters,Lane College,37,30,0.0,False,Earl Kitchings Stadium,Lane College,Edward Waters,Edward Waters,1
2023,6,Indiana-Pennsylvania,PennWest California,20,30,0.0,False,George P. Miller Stadium,PennWest California,Indiana-Pennsylvania,PennWest California,0
2023,6,Augustana (IL),Millikin,42,3,0.0,False,Charles D. Lindberg Stadium,Millikin,Augustana (IL),Augustana (IL),1
2023,6,Kalamazoo,Olivet College,14,42,0.0,False,Angell Field,Olivet College,Kalamazoo,Olivet College,0
2023,6,Augustana University (SD),Southwest Minnesota State,38,6,0.0,False,Kirkeby-Over Stadium,Southwest Minnesota State,Augustana University (SD),Augustana University (SD),1
2023,6,Wayne State (NE),Minnesota Duluth,28,18,0.0,False,"Memorial Stadium (Wayne, NE)",Minnesota Duluth,Wayne State (NE),Wayne State (NE),1
2023,6,Clarion,Seton Hill,17,24,0.0,False,"Memorial Stadium (Clarion, PA)",Seton Hill,Clarion,Seton Hill,0
2023,6,Wisconsin-Platteville,Wisconsin-Stevens Pt,51,10,0.0,False,Ralph E. Davis Pioneer Stadium,Wisconsin-Stevens Pt,Wisconsin-Platteville,Wisconsin-Platteville,1
2023,6,Williams,Middlebury,10,12,0.0,False,Farley-Lamb Field,Middlebury,Williams,Middlebury,0
2023,6,Temple,UTSA,34,49,0.0,False,Lincoln Financial Field,UTSA,Temple,UTSA,0
2023,6,NC State,Marshall,48,41,0.0,False,Carter-Finley Stadium,Marshall,NC State,NC State,1
2023,6,Northwest Missouri St,Central Oklahoma,34,21,0.0,False,Bearcat Stadium,Central Oklahoma,Northwest Missouri St,Northwest Missouri St,1
2023,6,Mars Hill,ERSKINE,38,3,0.0,False,Meares Stadium,ERSKINE,Mars Hill,Mars Hill,1
2023,6,Worcester Polytechnic Institute,SUNY Maritime,21,28,0.0,False,"Alumni Stadium (Worcester, MA)",SUNY Maritime,Worcester Polytechnic Institute,SUNY Maritime,0
2023,6,Southeastern Oklahoma State,Arkansas-Monticello,22,21,0.0,False,Paul Laird Field,Arkansas-Monticello,Southeastern Oklahoma State,Southeastern Oklahoma State,1
2023,6,Delaware,Duquesne,43,17,0.0,False,Delaware Stadium,Duquesne,Delaware,Delaware,1
2023,6,Geneva,Grove City College,21,48,0.0,False,Reeves Field (PA),Grove City College,Geneva,Grove City College,0
2023,6,Northwestern (MN),Crown College,47,23,0.0,False,Reynolds Field,Crown College,Northwestern (MN),Northwestern (MN),1
2023,6,Kennesaw State,Tennessee State,20,27,0.0,False,Fifth Third Stadium,Tennessee State,Kennesaw State,Tennessee State,0
2023,6,College Of New Jersey,Rowan,7,9,0.0,False,Lions Stadium,Rowan,College Of New Jersey,Rowan,0
2023,6,Sewanee,Birmingham-Southern,32,38,0.0,False,Hardee-McGee Field,Birmingham-Southern,Sewanee,Birmingham-Southern,0
2023,6,Lake Forest College,Lawrence University,76,0,0.0,False,Farwell Field,Lawrence University,Lake Forest College,Lake Forest College,1
2023,6,Eastern Illinois,UT Martin,27,28,0.0,False,O'Brien Stadium,UT Martin,Eastern Illinois,UT Martin,0
2023,6,South Dakota,Murray State,38,7,0.0,False,DakotaDome,Murray State,South Dakota,South Dakota,1
2023,6,Missouri State,North Dakota State,10,38,0.0,False,Plaster Sports Complex,North Dakota State,Missouri State,North Dakota State,0
2023,6,Wisconsin-Stout,Wisconsin-Oshkosh,46,48,0.0,False,Don and Nona Williams Stadium,Wisconsin-Oshkosh,Wisconsin-Stout,Wisconsin-Oshkosh,0
2023,6,Colorado Mesa,Colorado School Of Mines,0,52,0.0,False,Ralph Stocker Stadium,Colorado School Of Mines,Colorado Mesa,Colorado School Of Mines,0
2023,6,Henderson State,Southern Nazarene,42,28,0.0,False,Ruggles Field at Carpenter-Haygood Stadium,Southern Nazarene,Henderson State,Henderson State,1
2023,6,Minnesota State Mankato,Minnesota State Moorhead,24,21,0.0,False,Blakeslee Stadium,Minnesota State Moorhead,Minnesota State Mankato,Minnesota State Mankato,1
2023,6,Pittsburg St,Emporia State University,33,25,0.0,False,Carnie Smith Stadium,Emporia State University,Pittsburg St,Pittsburg St,1
2023,6,UCLA,Washington State,25,17,0.0,False,Rose Bowl,Washington State,UCLA,UCLA,1
2023,6,Missouri Southern State,Fort Hays State,22,35,0.0,False,Fred G. Hughes Stadium,Fort Hays State,Missouri Southern State,Fort Hays State,0
2023,6,Lincoln (MO),Northeastern State,13,28,0.0,False,Dwight T. Reed Stadium,Northeastern State,Lincoln (MO),Northeastern State,0
2023,6,Bluefield State,Lincoln (PA),44,52,0.0,False,Mitchell Stadium,Lincoln (PA),Bluefield State,Lincoln (PA),0
2023,6,Cornell College (IA),Beloit,36,24,0.0,False,Van Metre Field at Ash Park,Beloit,Cornell College (IA),Cornell College (IA),1
2023,6,Monmouth (IL),Grinnell,69,6,0.0,False,April Zorn Memorial Stadium,Grinnell,Monmouth (IL),Monmouth (IL),1
2023,6,East Central (OK),Ouachita Baptist,14,31,0.0,False,Koi Ishto Stadium,Ouachita Baptist,East Central (OK),Ouachita Baptist,0
2023,6,University of Mary,Winona State,7,17,0.0,False,MDU Resources Community Bowl,Winona State,University of Mary,Winona State,0
2023,6,Northwestern,Howard,23,20,0.0,False,Ryan Field,Howard,Northwestern,Northwestern,1
2023,6,Alabama State,Bethune-Cookman,19,14,0.0,False,Hornet Stadium,Bethune-Cookman,Alabama State,Alabama State,1
2023,6,Southern Arkansas,Oklahoma Baptist,63,24,0.0,False,Wilkins Stadium,Oklahoma Baptist,Southern Arkansas,Southern Arkansas,1
2023,6,East Tennessee State,Mercer,6,24,0.0,False,William B. Greene Jr. Stadium,Mercer,East Tennessee State,Mercer,0
2023,6,Richmond,Maine,42,31,0.0,False,E. Claiborne Robins Stadium,Maine,Richmond,Richmond,1
2023,6,Alcorn State,Grambling,25,24,0.0,False,Jack Spinks Stadium,Grambling,Alcorn State,Alcorn State,1
2023,6,Northern State,Minot State,46,9,0.0,False,Swisher Field,Minot State,Northern State,Northern State,1
2023,6,Iowa,Purdue,20,14,0.0,False,Kinnick Stadium,Purdue,Iowa,Iowa,1
2023,6,Ohio,Kent State,42,17,0.0,False,Peden Stadium,Kent State,Ohio,Ohio,1
2023,6,North Carolina,Syracuse,40,7,0.0,False,Kenan Stadium,Syracuse,North Carolina,North Carolina,1
2023,6,Florida State,Virginia Tech,39,17,0.0,False,Doak Campbell Stadium,Virginia Tech,Florida State,Florida State,1
2023,6,Navy,North Texas,27,24,0.0,False,Navy-Marine Corps Memorial Stadium,North Texas,Navy,Navy,1
2023,6,Eastern Michigan,Ball State,24,10,0.0,False,Rynearson Stadium,Ball State,Eastern Michigan,Eastern Michigan,1
2023,6,Miami (OH),Bowling Green,27,0,0.0,False,Yager Stadium,Bowling Green,Miami (OH),Miami (OH),1
2023,6,Akron,Northern Illinois,14,55,0.0,False,InfoCision Stadium,Northern Illinois,Akron,Northern Illinois,0
2023,6,Louisiana,Texas State,34,30,0.0,False,Cajun Field,Texas State,Louisiana,Louisiana,1
2023,6,Clemson,Wake Forest,17,12,0.0,False,"Memorial Stadium (Clemson, SC)",Wake Forest,Clemson,Clemson,1
2023,6,Texas A&M,Alabama,20,26,0.0,False,Kyle Field,Alabama,Texas A&M,Alabama,0
2023,6,UAB,South Florida,56,35,0.0,False,Protective Stadium,South Florida,UAB,UAB,1
2023,6,Florida,Vanderbilt,38,14,0.0,False,Ben Hill Griffin Stadium,Vanderbilt,Florida,Florida,1
2023,6,Troy,Arkansas State,37,3,0.0,False,Veterans Memorial Stadium (AL),Arkansas State,Troy,Troy,1
2023,6,Kansas,UCF,51,22,0.0,False,Memorial Stadium,UCF,Kansas,Kansas,1
2023,6,Chattanooga,Western Carolina,50,52,0.0,False,Finley Stadium,Western Carolina,Chattanooga,Western Carolina,0
2023,6,Towson,UAlbany,17,24,0.0,False,Johnny Unitas Stadium,UAlbany,Towson,UAlbany,0
2023,6,North Carolina A&T,Villanova,14,37,0.0,False,Aggie Stadium,Villanova,North Carolina A&T,Villanova,0
2023,6,Lamar,Northwestern State,27,13,0.0,False,Provost Umphrey Stadium,Northwestern State,Lamar,Lamar,1
2023,6,Nicholls,Houston Christian,38,7,0.0,False,Manning Field at John L. Guidry Stadium,Houston Christian,Nicholls,Nicholls,1
2023,6,Alabama A&M,Jackson State,30,45,0.0,True,Ladd Peebles Stadium,Jackson State,Alabama A&M,Jackson State,0
2023,6,Albany State GA,Central State (OH),48,0,0.0,False,Albany State University Coliseum,Central State (OH),Albany State GA,Albany State GA,1
2023,6,Washington and Lee,Guilford College,48,25,0.0,False,Wilson Field,Guilford College,Washington and Lee,Washington and Lee,1
2023,6,Lewis & Clark College,Linfield College,15,57,0.0,False,Griswold Stadium,Linfield College,Lewis & Clark College,Linfield College,0
2023,6,Puget Sound,NEWBERG,29,27,0.0,False,Baker Stadium,NEWBERG,Puget Sound,Puget Sound,1
2023,6,Pacific Lutheran,Pacific (OR),17,10,0.0,False,Sparks Stadium,Pacific (OR),Pacific Lutheran,Pacific Lutheran,1
2023,6,Western Connecticut St,Plymouth State,55,20,0.0,False,Westside Athletic Complex,Plymouth State,Western Connecticut St,Western Connecticut St,1
2023,6,CSU Pueblo,Adams State,43,10,0.0,False,Neta and Eddie DeRose ThunderBowl,Adams State,CSU Pueblo,CSU Pueblo,1
2023,6,UMass Dartmouth,Mass Maritime,26,0,0.0,False,Cressy Field,Mass Maritime,UMass Dartmouth,UMass Dartmouth,1
2023,6,Millsaps,Rhodes College,7,37,0.0,False,Harper Davis Field,Rhodes College,Millsaps,Rhodes College,0
2023,6,Washburn,Missouri Western,21,61,0.0,False,Yager Stadium at Moore Bowl,Missouri Western,Washburn,Missouri Western,0
2023,6,West Florida,Shorter,42,3,0.0,True,Blue Wahoos Stadium,Shorter,West Florida,West Florida,1
2023,6,Willamette,Whitworth,7,59,0.0,False,McCulloch Stadium,Whitworth,Willamette,Whitworth,0
2023,6,Gardner-Webb,Robert Morris,31,16,0.0,False,Ernest W. Spangler Stadium,Robert Morris,Gardner-Webb,Gardner-Webb,1
2023,6,Wilson,Newberry,34,17,0.0,False,Electric Supply Company Field,Newberry,Wilson,Wilson,1
2023,6,Western Oregon,Western New Mexico,31,10,0.0,False,McArthur Field,Western New Mexico,Western Oregon,Western Oregon,1
2023,6,Incarnate Word,SE Louisiana,33,26,0.0,False,Gayle and Tom Benson Stadium,SE Louisiana,Incarnate Word,Incarnate Word,1
2023,6,Central Arkansas,Southeast Missouri State,38,33,0.0,False,Estes Stadium,Southeast Missouri State,Central Arkansas,Central Arkansas,1
2023,6,Northwestern Oklahoma State,Harding University,0,62,0.0,False,Ranger Field,Harding University,Northwestern Oklahoma State,Harding University,0
2023,6,Rice,UConn,31,38,0.0,False,Rice Stadium,UConn,Rice,UConn,0
2023,6,Florida Atlantic,Tulsa,20,17,0.0,False,FAU Stadium,Tulsa,Florida Atlantic,Florida Atlantic,1
2023,6,Youngstown State,Southern Illinois,31,3,0.0,False,Stambaugh Stadium,Southern Illinois,Youngstown State,Youngstown State,1
2023,6,Indianapolis,William Jewell,59,17,0.0,False,Key Stadium,William Jewell,Indianapolis,Indianapolis,1
2023,6,Allen,Clark Atlanta,35,27,0.0,False,W.C. Hawkins Stadium,Clark Atlanta,Allen,Allen,1
2023,6,Catawba,Wingate,13,31,0.0,False,Shuford Stadium,Wingate,Catawba,Wingate,0
2023,6,Fort Valley State,Savannah St,38,24,0.0,False,Wildcat Stadium (GA),Savannah St,Fort Valley State,Fort Valley State,1
2023,6,West Georgia,West Alabama,24,6,0.0,False,University Stadium (GA),West Alabama,West Georgia,West Georgia,1
2023,6,East Stroudsburg University,Millersville,38,17,0.0,False,Eiler-Martin Stadium,Millersville,East Stroudsburg University,East Stroudsburg University,1
2023,6,Southwestern Oklahoma State,Arkansas Tech,7,9,0.0,False,Milam Stadium,Arkansas Tech,Southwestern Oklahoma State,Arkansas Tech,0
2023,6,Bowdoin,Tufts,10,24,0.0,False,Whittier Field,Tufts,Bowdoin,Tufts,0
2023,6,Arizona State,Colorado,24,27,0.0,False,Mountain America Stadium,Colorado,Arizona State,Colorado,0
2023,6,Georgia,Kentucky,51,13,0.0,False,Sanford Stadium,Kentucky,Georgia,Georgia,1
2023,6,North Central College,Carroll University (WI),69,24,0.0,False,Benedetti-Wehrli Stadium,Carroll University (WI),North Central College,North Central College,1
2023,6,UL Monroe,South Alabama,7,55,0.0,False,Malone Stadium,South Alabama,UL Monroe,South Alabama,0
2023,6,Southern Miss,Old Dominion,13,17,0.0,False,M. M. Roberts Stadium,Old Dominion,Southern Miss,Old Dominion,0
2023,6,McMurry,Hardin-Simmons,16,19,0.0,False,Wilford Moore Stadium,Hardin-Simmons,McMurry,Hardin-Simmons,0
2023,6,Indiana State,Northern Iowa,20,27,0.0,False,Memorial Stadium,Northern Iowa,Indiana State,Northern Iowa,0
2023,6,UC Davis,Montana,23,31,0.0,False,Aggie Stadium,Montana,UC Davis,Montana,0
2023,6,Tarleton State,Southern Utah,26,27,0.0,False,"Memorial Stadium (Stephenville, TX)",Southern Utah,Tarleton State,Southern Utah,0
2023,6,Prairie View A&M,Mississippi Valley State,31,12,0.0,False,Panther Stadium,Mississippi Valley State,Prairie View A&M,Prairie View A&M,1
2023,6,Southern,Florida A&M,19,26,0.0,False,Ace W. Mumford Stadium,Florida A&M,Southern,Florida A&M,0
2023,6,Illinois State,South Dakota State,21,40,0.0,False,Hancock Stadium,South Dakota State,Illinois State,South Dakota State,0
2023,6,Shenandoah,Bridgewater (VA),10,24,0.0,False,Shentel Stadium,Bridgewater (VA),Shenandoah,Bridgewater (VA),0
2023,6,Elmhurst,Wheaton,6,61,0.0,False,Langhorst Field,Wheaton,Elmhurst,Wheaton,0
2023,6,Carnegie Mellon,Thiel,80,22,0.0,False,Gesling Stadium,Thiel,Carnegie Mellon,Carnegie Mellon,1
2023,6,Kentucky Wesleyan,Thomas More College,28,36,0.0,False,Steele Stadium,Thomas More College,Kentucky Wesleyan,Thomas More College,0
2023,6,Ashland,Walsh,21,7,0.0,False,Jack Miller Stadium,Walsh,Ashland,Ashland,1
2023,6,Grand Valley State University,Kentucky State,65,7,0.0,False,Lubbers Stadium,Kentucky State,Grand Valley State University,Grand Valley State University,1
2023,6,Missouri S&T,Upper Iowa University,31,6,0.0,False,Allgood-Bailey Stadium,Upper Iowa University,Missouri S&T,Missouri S&T,1
2023,6,Minnesota,Michigan,10,52,0.0,False,Huntington Bank Stadium,Michigan,Minnesota,Michigan,0
2023,6,Ole Miss,Arkansas,27,20,0.0,False,Vaught-Hemingway Stadium,Arkansas,Ole Miss,Ole Miss,1
2023,6,Louisville,Notre Dame,33,20,0.0,False,L&N Federal Credit Union Stadium,Notre Dame,Louisville,Louisville,1
2023,6,Baylor,Texas Tech,14,39,0.0,False,McLane Stadium,Texas Tech,Baylor,Texas Tech,0
2023,6,Iowa State,TCU,27,14,0.0,False,Jack Trice Stadium,TCU,Iowa State,Iowa State,1
2023,6,Boise State,San José State,35,27,0.0,False,Albertsons Stadium,San José State,Boise State,Boise State,1
2023,6,Miami,Georgia Tech,20,23,0.0,False,Hard Rock Stadium,Georgia Tech,Miami,Georgia Tech,0
2023,6,Utah State,Colorado State,44,24,0.0,False,Maverik Stadium,Colorado State,Utah State,Utah State,1
2023,6,Wyoming,Fresno State,24,19,0.0,False,War Memorial Stadium,Fresno State,Wyoming,Wyoming,1
2023,6,Texas A&M-Kingsville,West Texas A&M,28,21,0.0,False,Javelina Stadium,West Texas A&M,Texas A&M-Kingsville,Texas A&M-Kingsville,1
2023,6,Cal Poly,Idaho,14,42,0.0,False,Alex G. Spanos Stadium,Idaho,Cal Poly,Idaho,0
2023,6,Tuskegee,Morehouse College,40,28,0.0,True,Legion Field,Morehouse College,Tuskegee,Tuskegee,1
2023,6,Macalester,Bethel (MN),14,49,0.0,False,Macalester Stadium,Bethel (MN),Macalester,Bethel (MN),0
2023,6,Weber State,Northern Arizona,10,27,0.0,False,Stewart Stadium,Northern Arizona,Weber State,Northern Arizona,0
2023,6,East Texas A&M,McNeese,41,10,0.0,False,Memorial Stadium (Commerce TX),McNeese,East Texas A&M,East Texas A&M,1
2023,6,Midwestern State,UT Permian Basin,13,21,0.0,False,"Memorial Stadium (Wichita Falls, TX)",UT Permian Basin,Midwestern State,UT Permian Basin,0
2023,6,Central Washington,Eastern New Mexico,38,35,0.0,False,Tomlinson Stadium,Eastern New Mexico,Central Washington,Central Washington,1
2023,6,Utah Tech,Stephen F. Austin,37,31,0.0,False,Greater Zion Stadium,Stephen F. Austin,Utah Tech,Utah Tech,1
2023,6,California Lutheran University,La Verne,55,0,0.0,False,William Rolland Stadium,La Verne,California Lutheran University,California Lutheran University,1
2023,6,California,Oregon State,40,52,0.0,False,California Memorial Stadium,Oregon State,California,Oregon State,0
2023,6,Chapman,Claremont-Mudd-Scripps College,20,7,0.0,False,Ernie Chapman Stadium,Claremont-Mudd-Scripps College,Chapman,Chapman,1
2023,6,Redlands,Pomona Pitzer,9,10,0.0,False,Ted Runner Stadium,Pomona Pitzer,Redlands,Pomona Pitzer,0
2023,6,USC,Arizona,43,41,0.0,False,Los Angeles Memorial Coliseum,Arizona,USC,USC,1
2023,7,Middle Tennessee,Louisiana Tech,31,23,0.0,False,"Johnny ""Red"" Floyd Stadium",Louisiana Tech,Middle Tennessee,Middle Tennessee,1
2023,7,Jacksonville State,Liberty,13,31,0.0,False,AmFirst Stadium,Liberty,Jacksonville State,Liberty,0
2023,7,App State,Coastal Carolina,24,27,0.0,False,Kidd Brewer Stadium,Coastal Carolina,App State,Coastal Carolina,0
2023,7,Florida International,UTEP,14,27,0.0,False,FIU Stadium,UTEP,Florida International,UTEP,0
2023,7,New Mexico State,Sam Houston,27,13,0.0,False,Aggie Memorial Stadium,Sam Houston,New Mexico State,New Mexico State,1
2023,7,Houston,West Virginia,41,39,0.0,False,TDECU Stadium,West Virginia,Houston,Houston,1
2023,7,Mass Maritime,Worcester St,22,19,0.0,False,Clean Harbors Stadium,Worcester St,Mass Maritime,Mass Maritime,1
2023,7,St. Francis (PA),Wagner,31,7,0.0,False,DeGol Field,Wagner,St. Francis (PA),St. Francis (PA),1
2023,7,Benedict College,Fort Valley State,48,6,0.0,False,Charlie W. Johnson Stadium,Fort Valley State,Benedict College,Benedict College,1
2023,7,East Carolina,SMU,10,31,0.0,False,Dowdy-Ficklen Stadium,SMU,East Carolina,SMU,0
2023,7,Memphis,Tulane,21,31,0.0,False,Simmons Bank Liberty Stadium,Tulane,Memphis,Tulane,0
